,Course,TermName,ClassAveLetter,ClassAveNum,SubjectCode,URL,Instructor,Instructor_1,Instructor_2,Instructor_3
9295,PHYS257,F2020,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-257,"Siwick, Bradley","Siwick, Bradley",,
9296,PHYS257,F2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-257,"Vachon, Brigitte","Vachon, Brigitte",,
9297,PHYS257,F2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-257,"Vachon, Brigitte","Vachon, Brigitte",,
9298,PHYS257,F2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-257,"Vachon, Brigitte","Vachon, Brigitte",,
9299,PHYS258,W2016,B+,3.3,PHYS,https://www.mcgill.ca/study/2015-2016/courses/phys-258,"Warburton, Andreas; Engelberg, Edith M; Brunner, Thomas","Warburton, Andreas","Engelberg, Edith M","Brunner, Thomas"
9300,PHYS258,W2017,A-,3.7,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-258,"Brunner, Thomas","Brunner, Thomas",,
9301,PHYS258,W2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-258,"Brunner, Thomas","Brunner, Thomas",,
9302,PHYS258,W2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-258,"Brunner, Thomas","Brunner, Thomas",,
9303,PHYS258,W2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-258,"Brunner, Thomas","Brunner, Thomas",,
9304,PHYS258,W2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-258,"Cooke, David","Cooke, David",,
9305,PHYS258,W2023,A,4.0,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-258,"Cooke, David","Cooke, David",,
9306,PHYS258,W2024,A,4.0,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-258,"Cooke, David","Cooke, David",,
9307,PHYS260,F2015,B+,3.3,PHYS,https://www.mcgill.ca/study/2015-2016/courses/phys-260,"Childress, Lilian","Childress, Lilian",,
9308,PHYS260,F2016,B+,3.3,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-260,"Maloney, Alexander","Maloney, Alexander",,
9309,PHYS260,F2017,B+,3.3,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-260,"Maloney, Alexander","Maloney, Alexander",,
9310,PHYS260,F2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-260,"Liu, Adrian","Liu, Adrian",,
9311,PHYS260,F2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2019-2020/courses/phys-260,"Liu, Adrian","Liu, Adrian",,
9312,PHYS260,F2020,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-260,"Liu, Adrian","Liu, Adrian",,
9313,PHYS260,F2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-260,"Haggard, Daryl","Haggard, Daryl",,
9314,PHYS260,F2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-260,"Liu, Adrian","Liu, Adrian",,
9315,PHYS260,F2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-260,"Haggard, Daryl","Haggard, Daryl",,
9316,PHYS271,W2015,B,3.0,PHYS,https://www.mcgill.ca/study/2014-2015/courses/phys-271,"Francois, Paul","Francois, Paul",,
9317,PHYS271,W2016,B,3.0,PHYS,https://www.mcgill.ca/study/2015-2016/courses/phys-271,"Francois, Paul","Francois, Paul",,
9318,PHYS271,W2017,B+,3.3,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-271,"Jeon, Sang Yong","Jeon, Sang Yong",,
9319,PHYS319,W2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-319,"Wiseman, Paul","Wiseman, Paul",,
9320,PHYS319,W2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-319,"Wiseman, Paul","Wiseman, Paul",,
9321,PHYS319,W2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-319,"Reisner, Walter","Reisner, Walter",,
9322,PHYS319,W2024,A,4.0,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-319,"Reisner, Walter","Reisner, Walter",,
9323,PHYS320,F2020,A,4.0,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-320,"Haggard, Daryl","Haggard, Daryl",,
9324,PHYS320,F2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-320,"Schutz, Katelin","Schutz, Katelin",,
9325,PHYS320,F2022,A,4.0,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-320,"Schutz, Katelin","Schutz, Katelin",,
9326,PHYS320,F2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-320,"Schutz, Katelin","Schutz, Katelin",,
9327,PHYS321,W2021,A,4.0,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-321,"Liu, Adrian","Liu, Adrian",,
9328,PHYS328,F2017,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-328,"Vachon, Brigitte","Vachon, Brigitte",,
9329,PHYS328,F2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-328,"Vachon, Brigitte","Vachon, Brigitte",,
9330,PHYS328,F2019,B,3.0,PHYS,https://www.mcgill.ca/study/2019-2020/courses/phys-328,"Chiang, Hsin Cynthia","Chiang, Hsin Cynthia",,
9331,PHYS331,W2019,B+,3.3,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-331,"Caron-Huot, Simon","Caron-Huot, Simon",,
9332,PHYS331,W2021,A,4.0,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-331,"Gervais, Guillaume","Gervais, Guillaume",,
9333,PHYS331,W2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-331,"Gervais, Guillaume","Gervais, Guillaume",,
9334,PHYS331,W2023,B+,3.3,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-331,"Gervais, Guillaume","Gervais, Guillaume",,
9335,PHYS331,W2024,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-331,"Gervais, Guillaume","Gervais, Guillaume",,
9336,PHYS333,W2017,B+,3.3,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-333,"Leslie, Sabrina","Leslie, Sabrina",,
9337,PHYS333,W2019,B+,3.3,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-333,"Cline, James M","Cline, James M",,
9338,PHYS333,W2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-333,"Rutledge, Robert","Rutledge, Robert",,
9339,PHYS333,W2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-333,"Rutledge, Robert","Rutledge, Robert",,
9340,PHYS333,W2024,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-333,"Rutledge, Robert","Rutledge, Robert",,
9341,PHYS339,W2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-339,"Cooke, David","Cooke, David",,
9342,PHYS339,W2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-339,"Reisner, Walter","Reisner, Walter",,
9343,PHYS339,W2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-339,"Reisner, Walter","Reisner, Walter",,
9344,PHYS339,W2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-339,"Reisner, Walter","Reisner, Walter",,
9345,PHYS339,W2024,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-339,"Ryan, Dominic","Ryan, Dominic",,
9346,PHYS340,F2016,B,3.0,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-340,"Rutledge, Robert","Rutledge, Robert",,
9347,PHYS340,F2017,B,3.0,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-340,"Rutledge, Robert","Rutledge, Robert",,
9348,PHYS340,F2018,B,3.0,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-340,"Rutledge, Robert","Rutledge, Robert",,
9349,PHYS340,F2019,B+,3.3,PHYS,https://www.mcgill.ca/study/2019-2020/courses/phys-340,"Guo, Hong","Guo, Hong",,
9350,PHYS340,F2020,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-340,"Guo, Hong","Guo, Hong",,
9351,PHYS340,F2021,B+,3.3,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-340,"Lee, Eve J","Lee, Eve J",,
9352,PHYS340,F2022,B+,3.3,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-340,"Du, Lipei","Du, Lipei",,
9353,PHYS340,F2023,B-,2.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-340,"Lovejoy, Shaun MacDonald","Lovejoy, Shaun MacDonald",,
9354,PHYS342,W2018,B+,3.3,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-342,"Gervais, Guillaume","Gervais, Guillaume",,
9355,PHYS342,W2019,B+,3.3,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-342,"Gervais, Guillaume","Gervais, Guillaume",,
9356,PHYS342,W2021,A,4.0,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-342,"Gervais, Guillaume","Gervais, Guillaume",,
9357,PHYS342,W2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-342,"Gervais, Guillaume","Gervais, Guillaume",,
9358,PHYS342,W2023,B+,3.3,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-342,"Gervais, Guillaume","Gervais, Guillaume",,
9359,PHYS342,W2024,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-342,"Gervais, Guillaume","Gervais, Guillaume",,
9360,PHYS346,F2020,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-346,"Vachon, Brigitte","Vachon, Brigitte",,
9361,PHYS346,F2021,B+,3.3,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-346,"Vachon, Brigitte","Vachon, Brigitte",,
