Class,Course,TermName,ClassAveLetter,ClassAveNum,Credits,
AEBI211-201601,AEBI211,W2016,B+,3.3,3,0
AEBI211-201701,AEBI211,W2017,B+,3.3,3,0
AEBI211-201801,AEBI211,W2018,B+,3.3,3,0
AEBI211-201901,AEBI211,W2019,B+,3.3,3,0
AEBI211-202101,AEBI211,W2021,A-,3.7,3,0
AEBI211-202201,AEBI211,W2022,B+,3.3,3,0
AEBI211-202301,AEBI211,W2023,B,3.0,3,0
AEBI211-202401,AEBI211,W2024,B+,3.3,3,0
AEBI212-201401,AEBI212,W2014,B+,3.3,3,1
AEBI212-201501,AEBI212,W2015,A-,3.7,3,1
AEBI212-201601,AEBI212,W2016,A-,3.7,3,1
AEBI212-201701,AEBI212,W2017,A-,3.7,3,1
AEBI212-201801,AEBI212,W2018,B+,3.3,3,1
AEBI212-201901,AEBI212,W2019,B+,3.3,3,1
AEBI212-202101,AEBI212,W2021,A,4.0,3,1
AEBI212-202201,AEBI212,W2022,A,4.0,3,1
AEBI212-202301,AEBI212,W2023,A,4.0,3,1
AEBI212-202401,AEBI212,W2024,A,4.0,3,1
AECH110-201109,AECH110,F2011,B+,3.3,4,0
AECH110-201309,AECH110,F2013,B+,3.3,4,0
AECH110-201409,AECH110,F2014,B,3.0,4,0
AECH110-201509,AECH110,F2015,B+,3.3,4,0
AECH110-201609,AECH110,F2016,B+,3.3,4,0
AECH110-201709,AECH110,F2017,B+,3.3,4,0
AECH110-201809,AECH110,F2018,B+,3.3,4,0
AECH110-201909,AECH110,F2019,B+,3.3,4,0
AECH110-202009,AECH110,F2020,A-,3.7,4,0
AECH110-202109,AECH110,F2021,A-,3.7,4,0
AECH110-202209,AECH110,F2022,B+,3.3,4,0
AECH110-202309,AECH110,F2023,B,3.0,4,0
AECH111-201201,AECH111,W2012,B,3.0,4,1
AECH111-201401,AECH111,W2014,B,3.0,4,1
AECH111-201501,AECH111,W2015,B-,2.7,4,1
AECH111-201601,AECH111,W2016,B-,2.7,4,1
AECH111-201701,AECH111,W2017,B,3.0,4,1
AECH111-201801,AECH111,W2018,B,3.0,4,1
AECH111-201901,AECH111,W2019,B+,3.3,4,1
AECH111-202101,AECH111,W2021,A-,3.7,4,1
AECH111-202201,AECH111,W2022,B+,3.3,4,1
AECH111-202401,AECH111,W2024,B,3.0,4,1
AEHM205-201401,AEHM205,W2014,B,3.0,3,0
AEHM205-201601,AEHM205,W2016,A-,3.7,3,0
AEHM205-201609,AEHM205,F2016,B,3.0,3,0
AEHM205-201701,AEHM205,W2017,B+,3.3,3,0
AEHM205-201709,AEHM205,F2017,B+,3.3,3,0
AEHM205-201809,AEHM205,F2018,B,3.0,3,0
AEHM205-201901,AEHM205,W2019,B+,3.3,3,0
AEHM205-201909,AEHM205,F2019,B,3.0,3,0
AEHM205-202009,AEHM205,F2020,B,3.0,3,0
AEHM205-202101,AEHM205,W2021,B+,3.3,3,0
AEHM205-202201,AEHM205,W2022,B,3.0,3,0
AEHM205-202209,AEHM205,F2022,B-,2.7,3,0
AEHM205-202301,AEHM205,W2023,B,3.0,3,0
AEHM205-202309,AEHM205,F2023,B+,3.3,3,0
AEMA101-201109,AEMA101,F2011,C,2.0,3,1
AEMA101-201309,AEMA101,F2013,B-,2.7,3,1
AEMA101-201409,AEMA101,F2014,C+,2.3,3,1
AEMA101-201509,AEMA101,F2015,B-,2.7,3,1
AEMA101-201609,AEMA101,F2016,B-,2.7,3,1
AEMA101-201709,AEMA101,F2017,B-,2.7,3,1
AEMA101-201809,AEMA101,F2018,C+,2.3,3,1
AEMA101-201909,AEMA101,F2019,B,3.0,3,1
AEMA101-202009,AEMA101,F2020,B+,3.3,3,1
AEMA101-202109,AEMA101,F2021,B,3.0,3,1
AEMA101-202209,AEMA101,F2022,B-,2.7,3,1
AEMA101-202309,AEMA101,F2023,B,3.0,3,1
AEMA102-201201,AEMA102,W2012,B-,2.7,4,0
AEMA102-201401,AEMA102,W2014,B-,2.7,4,0
AEMA102-201501,AEMA102,W2015,B-,2.7,4,0
AEMA102-201601,AEMA102,W2016,B,3.0,4,0
AEMA102-201701,AEMA102,W2017,B,3.0,4,0
AEMA102-201801,AEMA102,W2018,B-,2.7,4,0
AEMA102-201901,AEMA102,W2019,B-,2.7,4,0
AEMA102-202101,AEMA102,W2021,B+,3.3,4,0
AEMA102-202201,AEMA102,W2022,C+,2.3,4,0
AEMA102-202301,AEMA102,W2023,B-,2.7,4,0
AEMA102-202401,AEMA102,W2024,C+,2.3,4,0
AEMA202-201509,AEMA202,F2015,B-,2.7,3,1
AEMA202-201609,AEMA202,F2016,B-,2.7,3,1
AEMA202-201909,AEMA202,F2019,B+,3.3,3,1
AEMA202-202009,AEMA202,F2020,B+,3.3,3,1
AEMA202-202109,AEMA202,F2021,B,3.0,3,1
AEMA202-202209,AEMA202,F2022,B+,3.3,3,1
AEMA305-201601,AEMA305,W2016,B-,2.7,3,0
AEMA305-201701,AEMA305,W2017,B-,2.7,3,0
AEMA305-201801,AEMA305,W2018,B+,3.3,3,0
AEMA305-202101,AEMA305,W2021,B,3.0,3,0
AEMA305-202201,AEMA305,W2022,B+,3.3,3,0
AEMA305-202301,AEMA305,W2023,B+,3.3,3,0
AEMA305-202401,AEMA305,W2024,B+,3.3,3,0
AEMA310-201409,AEMA310,F2014,B+,3.3,3,1
AEMA310-201509,AEMA310,F2015,B+,3.3,3,1
AEMA310-201609,AEMA310,F2016,B+,3.3,3,1
AEMA310-201701,AEMA310,W2017,B+,3.3,3,1
AEMA310-201709,AEMA310,F2017,B-,2.7,3,1
AEMA310-201801,AEMA310,W2018,B+,3.3,3,1
AEMA310-201809,AEMA310,F2018,B+,3.3,3,1
AEMA310-201901,AEMA310,W2019,B,3.0,3,1
AEMA310-201909,AEMA310,F2019,B,3.0,3,1
AEMA310-202009,AEMA310,F2020,A-,3.7,3,1
AEMA310-202101,AEMA310,W2021,B+,3.3,3,1
AEMA310-202109,AEMA310,F2021,A-,3.7,3,1
AEMA310-202201,AEMA310,W2022,B+,3.3,3,1
AEMA310-202209,AEMA310,F2022,B,3.0,3,1
AEMA310-202301,AEMA310,W2023,B,3.0,3,1
AEMA310-202309,AEMA310,F2023,B+,3.3,3,1
AEMA310-202401,AEMA310,W2024,B-,2.7,3,1
AEPH112-201309,AEPH112,F2013,B+,3.3,4,0
AEPH112-201409,AEPH112,F2014,B+,3.3,4,0
AEPH112-201509,AEPH112,F2015,B,3.0,4,0
AEPH112-201609,AEPH112,F2016,B,3.0,4,0
AEPH112-201709,AEPH112,F2017,B,3.0,4,0
AEPH112-201809,AEPH112,F2018,B-,2.7,4,0
AEPH112-201909,AEPH112,F2019,B-,2.7,4,0
AEPH112-202009,AEPH112,F2020,B+,3.3,4,0
AEPH112-202109,AEPH112,F2021,B-,2.7,4,0
AEPH112-202209,AEPH112,F2022,B-,2.7,4,0
AEPH112-202309,AEPH112,F2023,B-,2.7,4,0
AEPH113-201609,AEPH113,F2016,C+,2.3,4,1
AEPH113-201709,AEPH113,F2017,B,3.0,4,1
AEPH113-201809,AEPH113,F2018,B-,2.7,4,1
