Class,Course,TermName,ClassAveLetter,ClassAveNum,Credits,
ECON352D2-201801,ECON352D2,W2018,B+,3.3,3,0
ECON352D2-201901,ECON352D2,W2019,B,3.0,3,0
ECON352D2-202101,ECON352D2,W2021,B+,3.3,3,0
ECON352D2-202201,ECON352D2,W2022,B+,3.3,3,0
ECON352D2-202301,ECON352D2,W2023,B+,3.3,3,0
ECON353-202309,ECON353,F2023,B+,3.3,3,1
ECON354-202401,ECON354,W2024,A-,3.7,3,0
ECON405-202301,ECON405,W2023,B+,3.3,3,1
ECON406-201701,ECON406,W2017,B,3.0,3,0
ECON406-202301,ECON406,W2023,B+,3.3,3,0
ECON406-202401,ECON406,W2024,B+,3.3,3,0
ECON408-201809,ECON408,F2018,B,3.0,3,1
ECON408-201909,ECON408,F2019,B+,3.3,3,1
ECON408-202009,ECON408,F2020,A,4.0,3,1
ECON408-202109,ECON408,F2021,A,4.0,3,1
ECON408-202209,ECON408,F2022,A-,3.7,3,1
ECON408-202309,ECON408,F2023,B+,3.3,3,1
ECON409-201801,ECON409,W2018,B,3.0,3,0
ECON409-202401,ECON409,W2024,A-,3.7,3,0
ECON416-201901,ECON416,W2019,B+,3.3,3,1
ECON416-202401,ECON416,W2024,B+,3.3,3,1
ECON420-201609,ECON420,F2016,B,3.0,3,0
ECON423-201809,ECON423,F2018,B,3.0,3,1
ECON423-201909,ECON423,F2019,B-,2.7,3,1
ECON423-202009,ECON423,F2020,B+,3.3,3,1
ECON423-202109,ECON423,F2021,B,3.0,3,1
ECON423-202209,ECON423,F2022,B,3.0,3,1
ECON423-202309,ECON423,F2023,A-,3.7,3,1
ECON424-201801,ECON424,W2018,B,3.0,3,0
ECON424-201901,ECON424,W2019,B,3.0,3,0
ECON424-202201,ECON424,W2022,B,3.0,3,0
ECON424-202301,ECON424,W2023,B,3.0,3,0
ECON426-201909,ECON426,F2019,B+,3.3,3,1
ECON426-202109,ECON426,F2021,B+,3.3,3,1
ECON426-202209,ECON426,F2022,B+,3.3,3,1
ECON434-202101,ECON434,W2021,B+,3.3,3,0
ECON434-202309,ECON434,F2023,A-,3.7,3,0
ECON440-201901,ECON440,W2019,B-,2.7,3,1
ECON440-202201,ECON440,W2022,B+,3.3,3,1
ECON440-202301,ECON440,W2023,B+,3.3,3,1
ECON447-202101,ECON447,W2021,A-,3.7,3,0
ECON447-202301,ECON447,W2023,B+,3.3,3,0
ECON450-201509,ECON450,F2015,A-,3.7,3,1
ECON450-202101,ECON450,W2021,A-,3.7,3,1
ECON450-202201,ECON450,W2022,B+,3.3,3,1
ECON450-202301,ECON450,W2023,B+,3.3,3,1
ECON450-202401,ECON450,W2024,B+,3.3,3,1
ECON452-201601,ECON452,W2016,B+,3.3,3,0
ECON452-201809,ECON452,F2018,B+,3.3,3,0
ECON452-201909,ECON452,F2019,B+,3.3,3,0
ECON452-202101,ECON452,W2021,B+,3.3,3,0
ECON452-202109,ECON452,F2021,B+,3.3,3,0
ECON452-202209,ECON452,F2022,B+,3.3,3,0
ECON452-202309,ECON452,F2023,B,3.0,3,0
ECON454-201901,ECON454,W2019,B+,3.3,3,1
ECON460-201709,ECON460,F2017,A-,3.7,3,0
ECON460-201909,ECON460,F2019,A-,3.7,3,0
ECON460-202009,ECON460,F2020,A-,3.7,3,0
ECON460-202209,ECON460,F2022,B+,3.3,3,0
ECON460-202309,ECON460,F2023,A-,3.7,3,0
ECON461-202201,ECON461,W2022,B+,3.3,3,1
ECON468-201409,ECON468,F2014,B,3.0,3,0
ECON468-201509,ECON468,F2015,B-,2.7,3,0
ECON468-201909,ECON468,F2019,B-,2.7,3,0
ECON468-202009,ECON468,F2020,A-,3.7,3,0
ECON468-202109,ECON468,F2021,B,3.0,3,0
ECON468-202309,ECON468,F2023,B,3.0,3,0
ECON469-201601,ECON469,W2016,B+,3.3,3,1
ECON473-202109,ECON473,F2021,B-,2.7,3,0
ECON510-202401,ECON510,W2024,A-,3.7,3,1
ECON511-202301,ECON511,W2023,A-,3.7,3,0
ECON546-201701,ECON546,W2017,B,3.0,3,1
ECON546-201801,ECON546,W2018,B+,3.3,3,1
ECON546-201901,ECON546,W2019,B+,3.3,3,1
ECON546-201909,ECON546,F2019,A-,3.7,3,1
ECON546-202009,ECON546,F2020,A-,3.7,3,1
ECON546-202109,ECON546,F2021,B,3.0,3,1
ECON546-202209,ECON546,F2022,B,3.0,3,1
ECON546-202309,ECON546,F2023,B,3.0,3,1
ECSE200-201401,ECSE200,W2014,B-,2.7,3,0
ECSE200-201409,ECSE200,F2014,C+,2.3,3,0
ECSE200-201501,ECSE200,W2015,B-,2.7,3,0
ECSE200-201509,ECSE200,F2015,B-,2.7,3,0
ECSE200-201601,ECSE200,W2016,B-,2.7,3,0
ECSE200-201609,ECSE200,F2016,B,3.0,3,0
ECSE200-201701,ECSE200,W2017,B,3.0,3,0
ECSE200-201709,ECSE200,F2017,B+,3.3,3,0
ECSE200-201801,ECSE200,W2018,B+,3.3,3,0
ECSE200-201809,ECSE200,F2018,B+,3.3,3,0
ECSE200-201901,ECSE200,W2019,B+,3.3,3,0
ECSE200-201909,ECSE200,F2019,B-,2.7,3,0
ECSE200-202009,ECSE200,F2020,A-,3.7,3,0
ECSE200-202101,ECSE200,W2021,A-,3.7,3,0
ECSE200-202109,ECSE200,F2021,A-,3.7,3,0
ECSE200-202201,ECSE200,W2022,A-,3.7,3,0
ECSE200-202209,ECSE200,F2022,B+,3.3,3,0
ECSE200-202301,ECSE200,W2023,B+,3.3,3,0
ECSE200-202309,ECSE200,F2023,A-,3.7,3,0
ECSE200-202401,ECSE200,W2024,B+,3.3,3,0
ECSE202-201609,ECSE202,F2016,B-,2.7,3,1
ECSE202-201701,ECSE202,W2017,A-,3.7,3,1
ECSE202-201709,ECSE202,F2017,B,3.0,3,1
ECSE202-201801,ECSE202,W2018,B-,2.7,3,1
ECSE202-201809,ECSE202,F2018,B+,3.3,3,1
ECSE202-201901,ECSE202,W2019,B+,3.3,3,1
ECSE202-201909,ECSE202,F2019,B-,2.7,3,1
ECSE202-202009,ECSE202,F2020,B+,3.3,3,1
ECSE202-202101,ECSE202,W2021,B,3.0,3,1
ECSE202-202109,ECSE202,F2021,B,3.0,3,1
ECSE202-202201,ECSE202,W2022,B+,3.3,3,1
ECSE205-201609,ECSE205,F2016,B+,3.3,3,0
ECSE205-201701,ECSE205,W2017,B-,2.7,3,0
ECSE205-201709,ECSE205,F2017,B-,2.7,3,0
ECSE205-201801,ECSE205,W2018,B-,2.7,3,0
ECSE205-201809,ECSE205,F2018,B,3.0,3,0
ECSE205-201901,ECSE205,W2019,B,3.0,3,0
ECSE205-201909,ECSE205,F2019,B+,3.3,3,0
ECSE205-202005,ECSE205,S2020,B+,3.3,3,0
ECSE205-202009,ECSE205,F2020,B+,3.3,3,0
ECSE205-202101,ECSE205,W2021,B+,3.3,3,0
ECSE205-202109,ECSE205,F2021,B,3.0,3,0
ECSE205-202201,ECSE205,W2022,B+,3.3,3,0
ECSE205-202209,ECSE205,F2022,B+,3.3,3,0
ECSE205-202301,ECSE205,W2023,B,3.0,3,0
ECSE205-202309,ECSE205,F2023,B+,3.3,3,0
ECSE205-202401,ECSE205,W2024,B+,3.3,3,0
ECSE206-201701,ECSE206,W2017,B-,2.7,3,1
ECSE206-201709,ECSE206,F2017,B-,2.7,3,1
ECSE206-201801,ECSE206,W2018,B+,3.3,3,1
ECSE206-201809,ECSE206,F2018,B+,3.3,3,1
ECSE206-201901,ECSE206,W2019,B,3.0,3,1
ECSE206-201909,ECSE206,F2019,B-,2.7,3,1
ECSE206-202009,ECSE206,F2020,B+,3.3,3,1
ECSE206-202101,ECSE206,W2021,A-,3.7,3,1
ECSE206-202109,ECSE206,F2021,B+,3.3,3,1
ECSE206-202201,ECSE206,W2022,A-,3.7,3,1
ECSE206-202209,ECSE206,F2022,B+,3.3,3,1
ECSE206-202301,ECSE206,W2023,A-,3.7,3,1
ECSE206-202309,ECSE206,F2023,A-,3.7,3,1
ECSE206-202401,ECSE206,W2024,B+,3.3,3,1
ECSE209-202209,ECSE209,F2022,B+,3.3,3,0
ECSE209-202309,ECSE209,F2023,B+,3.3,3,0
ECSE210-201409,ECSE210,F2014,C+,2.3,3,1
ECSE210-201501,ECSE210,W2015,B,3.0,3,1
ECSE210-201505,ECSE210,S2015,C,2.0,3,1
ECSE210-201509,ECSE210,F2015,C+,2.3,3,1
ECSE210-201601,ECSE210,W2016,B,3.0,3,1
ECSE210-201605,ECSE210,S2016,B-,2.7,3,1
ECSE210-201609,ECSE210,F2016,B-,2.7,3,1
ECSE210-201701,ECSE210,W2017,C+,2.3,3,1
ECSE210-201705,ECSE210,S2017,B-,2.7,3,1
ECSE210-201801,ECSE210,W2018,B-,2.7,3,1
ECSE210-201805,ECSE210,S2018,B,3.0,3,1
ECSE210-201901,ECSE210,W2019,B+,3.3,3,1
ECSE210-201905,ECSE210,S2019,A-,3.7,3,1
ECSE210-202009,ECSE210,F2020,A,4.0,3,1
ECSE210-202101,ECSE210,W2021,A,4.0,3,1
ECSE210-202109,ECSE210,F2021,B,3.0,3,1
ECSE210-202201,ECSE210,W2022,B-,2.7,3,1
ECSE210-202209,ECSE210,F2022,B,3.0,3,1
ECSE210-202301,ECSE210,W2023,B,3.0,3,1
ECSE210-202309,ECSE210,F2023,B-,2.7,3,1
ECSE210-202401,ECSE210,W2024,C+,2.3,3,1
ECSE211-201409,ECSE211,F2014,B+,3.3,3,0
ECSE211-201501,ECSE211,W2015,A-,3.7,3,0
ECSE211-201601,ECSE211,W2016,B+,3.3,3,0
ECSE211-201609,ECSE211,F2016,A-,3.7,3,0
ECSE211-201701,ECSE211,W2017,A-,3.7,3,0
ECSE211-201709,ECSE211,F2017,B+,3.3,3,0
ECSE211-201801,ECSE211,W2018,B,3.0,3,0
ECSE211-201809,ECSE211,F2018,A-,3.7,3,0
ECSE211-201901,ECSE211,W2019,A-,3.7,3,0
ECSE211-201909,ECSE211,F2019,A-,3.7,3,0
ECSE211-202009,ECSE211,F2020,B+,3.3,3,0
ECSE211-202101,ECSE211,W2021,B,3.0,3,0
ECSE211-202109,ECSE211,F2021,B,3.0,3,0
ECSE211-202201,ECSE211,W2022,B+,3.3,3,0
ECSE211-202209,ECSE211,F2022,A-,3.7,3,0
ECSE211-202301,ECSE211,W2023,B-,2.7,3,0
ECSE211-202309,ECSE211,F2023,B+,3.3,3,0
ECSE211-202401,ECSE211,W2024,B+,3.3,3,0
ECSE221-201401,ECSE221,W2014,B-,2.7,3,1
ECSE221-201409,ECSE221,F2014,B-,2.7,3,1
ECSE221-201501,ECSE221,W2015,B-,2.7,3,1
ECSE221-201509,ECSE221,F2015,B,3.0,3,1
ECSE221-201601,ECSE221,W2016,B-,2.7,3,1
ECSE221-201609,ECSE221,F2016,B-,2.7,3,1
ECSE222-201701,ECSE222,W2017,A-,3.7,3,0
ECSE222-201709,ECSE222,F2017,A,4.0,3,0
ECSE222-201801,ECSE222,W2018,B,3.0,3,0
ECSE222-201809,ECSE222,F2018,A-,3.7,3,0
ECSE222-201901,ECSE222,W2019,A-,3.7,3,0
ECSE222-201909,ECSE222,F2019,B+,3.3,3,0
ECSE222-202009,ECSE222,F2020,A,4.0,3,0
ECSE222-202101,ECSE222,W2021,A-,3.7,3,0
ECSE222-202109,ECSE222,F2021,B,3.0,3,0
ECSE222-202201,ECSE222,W2022,B+,3.3,3,0
ECSE222-202209,ECSE222,F2022,B,3.0,3,0
ECSE222-202301,ECSE222,W2023,B,3.0,3,0
ECSE222-202309,ECSE222,F2023,B+,3.3,3,0
ECSE222-202401,ECSE222,W2024,A-,3.7,3,0
ECSE223-201701,ECSE223,W2017,B+,3.3,3,1
ECSE223-201801,ECSE223,W2018,B+,3.3,3,1
ECSE223-201901,ECSE223,W2019,B+,3.3,3,1
ECSE223-201909,ECSE223,F2019,B+,3.3,3,1
ECSE223-202009,ECSE223,F2020,A-,3.7,3,1
ECSE223-202101,ECSE223,W2021,A,4.0,3,1
ECSE223-202109,ECSE223,F2021,A-,3.7,3,1
ECSE223-202201,ECSE223,W2022,A-,3.7,3,1
ECSE223-202209,ECSE223,F2022,A-,3.7,3,1
ECSE223-202301,ECSE223,W2023,B+,3.3,3,1
ECSE223-202309,ECSE223,F2023,A-,3.7,3,1
ECSE223-202401,ECSE223,W2024,A-,3.7,3,1
ECSE250-202301,ECSE250,W2023,B+,3.3,3,0
ECSE250-202309,ECSE250,F2023,B+,3.3,3,0
ECSE250-202401,ECSE250,W2024,A-,3.7,3,0
ECSE251-201701,ECSE251,W2017,B+,3.3,3,1
ECSE251-201709,ECSE251,F2017,B-,2.7,3,1
ECSE251-201801,ECSE251,W2018,B+,3.3,3,1
ECSE251-201809,ECSE251,F2018,C+,2.3,3,1
ECSE251-201901,ECSE251,W2019,B,3.0,3,1
ECSE251-201909,ECSE251,F2019,B-,2.7,3,1
ECSE251-202009,ECSE251,F2020,A-,3.7,3,1
ECSE251-202101,ECSE251,W2021,B,3.0,3,1
ECSE251-202201,ECSE251,W2022,C,2.0,3,1
ECSE251-202209,ECSE251,F2022,B+,3.3,3,1
ECSE251-202301,ECSE251,W2023,B-,2.7,3,1
ECSE251-202309,ECSE251,F2023,B+,3.3,3,1
ECSE251-202401,ECSE251,W2024,B,3.0,3,1
ECSE291-201409,ECSE291,F2014,A-,3.7,2,0
ECSE291-201501,ECSE291,W2015,B+,3.3,2,0
ECSE291-201509,ECSE291,F2015,A-,3.7,2,0
ECSE291-201601,ECSE291,W2016,A-,3.7,2,0
ECSE291-201609,ECSE291,F2016,B+,3.3,2,0
ECSE303-201509,ECSE303,F2015,B,3.0,3,1
ECSE303-201601,ECSE303,W2016,B,3.0,3,1
ECSE303-201609,ECSE303,F2016,B-,2.7,3,1
ECSE304-201609,ECSE304,F2016,B+,3.3,3,0
ECSE304-201701,ECSE304,W2017,B+,3.3,3,0
ECSE305-201601,ECSE305,W2016,B-,2.7,3,1
ECSE305-201609,ECSE305,F2016,B,3.0,3,1
ECSE305-201701,ECSE305,W2017,B,3.0,3,1
ECSE305-201709,ECSE305,F2017,B+,3.3,3,1
ECSE305-201801,ECSE305,W2018,B-,2.7,3,1
ECSE305-201809,ECSE305,F2018,B+,3.3,3,1
ECSE306-201509,ECSE306,F2015,B+,3.3,3,0
ECSE306-201609,ECSE306,F2016,B,3.0,3,0
ECSE306-201701,ECSE306,W2017,B-,2.7,3,0
ECSE306-201709,ECSE306,F2017,B-,2.7,3,0
ECSE307-201709,ECSE307,F2017,A-,3.7,4,1
ECSE307-201801,ECSE307,W2018,A-,3.7,4,1
ECSE307-201809,ECSE307,F2018,B+,3.3,4,1
ECSE307-201901,ECSE307,W2019,B+,3.3,4,1
ECSE307-201909,ECSE307,F2019,B+,3.3,4,1
ECSE307-202009,ECSE307,F2020,A,4.0,4,1
ECSE307-202101,ECSE307,W2021,A-,3.7,4,1
ECSE307-202109,ECSE307,F2021,A-,3.7,4,1
ECSE307-202201,ECSE307,W2022,B+,3.3,4,1
ECSE307-202209,ECSE307,F2022,A,4.0,4,1
ECSE307-202301,ECSE307,W2023,B,3.0,4,1
ECSE307-202309,ECSE307,F2023,B+,3.3,4,1
ECSE308-201801,ECSE308,W2018,A-,3.7,4,0
ECSE308-201809,ECSE308,F2018,B,3.0,4,0
ECSE308-201901,ECSE308,W2019,A-,3.7,4,0
ECSE308-201909,ECSE308,F2019,B+,3.3,4,0
ECSE308-202009,ECSE308,F2020,A-,3.7,4,0
ECSE308-202101,ECSE308,W2021,B+,3.3,4,0
ECSE308-202109,ECSE308,F2021,A-,3.7,4,0
ECSE308-202201,ECSE308,W2022,B,3.0,4,0
ECSE308-202209,ECSE308,F2022,A-,3.7,4,0
ECSE308-202301,ECSE308,W2023,B-,2.7,4,0
ECSE308-202309,ECSE308,F2023,A-,3.7,4,0
ECSE308-202401,ECSE308,W2024,B-,2.7,4,0
ECSE309-201809,ECSE309,F2018,B-,2.7,3,1
ECSE310-201801,ECSE310,W2018,B+,3.3,3,0
ECSE310-201901,ECSE310,W2019,A-,3.7,3,0
ECSE310-202009,ECSE310,F2020,A,4.0,3,0
ECSE310-202101,ECSE310,W2021,A,4.0,3,0
ECSE310-202109,ECSE310,F2021,A-,3.7,3,0
ECSE310-202201,ECSE310,W2022,A,4.0,3,0
ECSE310-202209,ECSE310,F2022,A-,3.7,3,0
ECSE310-202301,ECSE310,W2023,B+,3.3,3,0
ECSE310-202309,ECSE310,F2023,B+,3.3,3,0
ECSE310-202401,ECSE310,W2024,A-,3.7,3,0
ECSE316-201901,ECSE316,W2019,B,3.0,3,1
ECSE316-202101,ECSE316,W2021,A-,3.7,3,1
ECSE316-202201,ECSE316,W2022,B+,3.3,3,1
ECSE316-202301,ECSE316,W2023,B+,3.3,3,1
ECSE316-202309,ECSE316,F2023,B+,3.3,3,1
ECSE321-201409,ECSE321,F2014,B+,3.3,3,0
ECSE321-201501,ECSE321,W2015,B,3.0,3,0
ECSE321-201509,ECSE321,F2015,B+,3.3,3,0
ECSE321-201601,ECSE321,W2016,A-,3.7,3,0
ECSE321-201701,ECSE321,W2017,A-,3.7,3,0
ECSE321-201709,ECSE321,F2017,B,3.0,3,0
ECSE321-201801,ECSE321,W2018,B+,3.3,3,0
ECSE321-201809,ECSE321,F2018,B+,3.3,3,0
ECSE321-201901,ECSE321,W2019,B+,3.3,3,0
ECSE321-201909,ECSE321,F2019,A-,3.7,3,0
ECSE321-202009,ECSE321,F2020,A-,3.7,3,0
ECSE321-202101,ECSE321,W2021,A-,3.7,3,0
ECSE321-202109,ECSE321,F2021,A-,3.7,3,0
ECSE321-202201,ECSE321,W2022,A-,3.7,3,0
ECSE321-202209,ECSE321,F2022,A-,3.7,3,0
ECSE321-202301,ECSE321,W2023,A-,3.7,3,0
ECSE321-202309,ECSE321,F2023,B+,3.3,3,0
ECSE321-202401,ECSE321,W2024,A-,3.7,3,0
ECSE322-201501,ECSE322,W2015,B,3.0,3,1
ECSE322-201509,ECSE322,F2015,B,3.0,3,1
ECSE322-201601,ECSE322,W2016,B-,2.7,3,1
ECSE322-201609,ECSE322,F2016,B,3.0,3,1
ECSE322-201701,ECSE322,W2017,B,3.0,3,1
ECSE322-201709,ECSE322,F2017,B+,3.3,3,1
ECSE323-201609,ECSE323,F2016,B+,3.3,5,0
ECSE323-201701,ECSE323,W2017,B+,3.3,5,0
ECSE323-201709,ECSE323,F2017,B-,2.7,5,0
ECSE324-201709,ECSE324,F2017,B-,2.7,4,1
ECSE324-201801,ECSE324,W2018,B+,3.3,4,1
ECSE324-201809,ECSE324,F2018,B,3.0,4,1
ECSE324-201901,ECSE324,W2019,B-,2.7,4,1
ECSE324-201909,ECSE324,F2019,A-,3.7,4,1
ECSE324-202009,ECSE324,F2020,A-,3.7,4,1
ECSE324-202101,ECSE324,W2021,A-,3.7,4,1
ECSE324-202109,ECSE324,F2021,B+,3.3,4,1
ECSE324-202201,ECSE324,W2022,B+,3.3,4,1
ECSE324-202209,ECSE324,F2022,B+,3.3,4,1
ECSE324-202301,ECSE324,W2023,B,3.0,4,1
ECSE324-202309,ECSE324,F2023,B,3.0,4,1
ECSE324-202401,ECSE324,W2024,B,3.0,4,1
ECSE325-201801,ECSE325,W2018,B+,3.3,3,0
ECSE325-201901,ECSE325,W2019,B+,3.3,3,0
ECSE325-202101,ECSE325,W2021,A,4.0,3,0
ECSE325-202201,ECSE325,W2022,A,4.0,3,0
ECSE325-202301,ECSE325,W2023,A-,3.7,3,0
ECSE325-202401,ECSE325,W2024,A-,3.7,3,0
ECSE326-201809,ECSE326,F2018,A-,3.7,3,1
ECSE326-201909,ECSE326,F2019,A-,3.7,3,1
ECSE326-202009,ECSE326,F2020,A,4.0,3,1
ECSE326-202109,ECSE326,F2021,A-,3.7,3,1
ECSE326-202209,ECSE326,F2022,B+,3.3,3,1
ECSE326-202309,ECSE326,F2023,B+,3.3,3,1
ECSE330-201509,ECSE330,F2015,B,3.0,3,0
ECSE330-201601,ECSE330,W2016,B-,2.7,3,0
ECSE330-201609,ECSE330,F2016,B+,3.3,3,0
ECSE330-201701,ECSE330,W2017,B-,2.7,3,0
ECSE331-201709,ECSE331,F2017,B,3.0,4,1
ECSE331-201801,ECSE331,W2018,B+,3.3,4,1
ECSE331-201809,ECSE331,F2018,B,3.0,4,1
ECSE331-201901,ECSE331,W2019,B,3.0,4,1
ECSE331-201909,ECSE331,F2019,B-,2.7,4,1
ECSE331-202009,ECSE331,F2020,A-,3.7,4,1
ECSE331-202101,ECSE331,W2021,A-,3.7,4,1
ECSE331-202109,ECSE331,F2021,B-,2.7,4,1
ECSE331-202201,ECSE331,W2022,B-,2.7,4,1
ECSE331-202209,ECSE331,F2022,C+,2.3,4,1
ECSE331-202301,ECSE331,W2023,B-,2.7,4,1
ECSE331-202309,ECSE331,F2023,B+,3.3,4,1
ECSE331-202401,ECSE331,W2024,B+,3.3,4,1
ECSE334-201601,ECSE334,W2016,B+,3.3,3,0
ECSE334-201609,ECSE334,F2016,B-,2.7,3,0
ECSE334-201701,ECSE334,W2017,B,3.0,3,0
ECSE334-201709,ECSE334,F2017,B-,2.7,3,0
ECSE334-201801,ECSE334,W2018,B,3.0,3,0
ECSE335-201809,ECSE335,F2018,B+,3.3,4,1
ECSE335-202009,ECSE335,F2020,B+,3.3,4,1
ECSE335-202209,ECSE335,F2022,B,3.0,4,1
ECSE335-202309,ECSE335,F2023,B,3.0,4,1
ECSE343-202101,ECSE343,W2021,A,4.0,3,0
ECSE343-202109,ECSE343,F2021,A-,3.7,3,0
ECSE343-202201,ECSE343,W2022,B+,3.3,3,0
ECSE343-202301,ECSE343,W2023,B+,3.3,3,0
ECSE343-202401,ECSE343,W2024,B,3.0,3,0
ECSE351-201509,ECSE351,F2015,B+,3.3,3,1
ECSE351-201601,ECSE351,W2016,B+,3.3,3,1
ECSE351-201609,ECSE351,F2016,C+,2.3,3,1
ECSE351-201701,ECSE351,W2017,B,3.0,3,1
ECSE352-201609,ECSE352,F2016,A-,3.7,3,0
ECSE352-201709,ECSE352,F2017,B+,3.3,3,0
ECSE353-201609,ECSE353,F2016,B-,2.7,3,1
ECSE353-201709,ECSE353,F2017,B,3.0,3,1
ECSE353-201809,ECSE353,F2018,B+,3.3,3,1
ECSE353-201909,ECSE353,F2019,B+,3.3,3,1
ECSE353-202009,ECSE353,F2020,A-,3.7,3,1
ECSE353-202109,ECSE353,F2021,B+,3.3,3,1
ECSE353-202209,ECSE353,F2022,B+,3.3,3,1
ECSE353-202309,ECSE353,F2023,B,3.0,3,1
ECSE354-201801,ECSE354,W2018,B,3.0,4,0
ECSE354-201809,ECSE354,F2018,A-,3.7,4,0
ECSE354-201901,ECSE354,W2019,B+,3.3,4,0
ECSE354-201909,ECSE354,F2019,B+,3.3,4,0
ECSE354-202101,ECSE354,W2021,A,4.0,4,0
ECSE354-202201,ECSE354,W2022,A-,3.7,4,0
ECSE354-202301,ECSE354,W2023,B+,3.3,4,0
ECSE354-202309,ECSE354,F2023,B-,2.7,4,0
ECSE361-201601,ECSE361,W2016,B-,2.7,3,1
ECSE361-201609,ECSE361,F2016,B,3.0,3,1
ECSE361-201701,ECSE361,W2017,B,3.0,3,1
ECSE361-201709,ECSE361,F2017,B-,2.7,3,1
ECSE361-201801,ECSE361,W2018,B,3.0,3,1
ECSE362-201709,ECSE362,F2017,B+,3.3,4,0
ECSE362-201801,ECSE362,W2018,B+,3.3,4,0
ECSE362-201809,ECSE362,F2018,B+,3.3,4,0
ECSE362-202009,ECSE362,F2020,B+,3.3,4,0
ECSE362-202101,ECSE362,W2021,A-,3.7,4,0
ECSE362-202109,ECSE362,F2021,B,3.0,4,0
ECSE362-202201,ECSE362,W2022,B,3.0,4,0
ECSE362-202209,ECSE362,F2022,B,3.0,4,0
ECSE362-202301,ECSE362,W2023,B-,2.7,4,0
ECSE362-202309,ECSE362,F2023,B+,3.3,4,0
ECSE362-202401,ECSE362,W2024,B,3.0,4,0
ECSE403-202009,ECSE403,F2020,B+,3.3,4,1
ECSE403-202401,ECSE403,W2024,B,3.0,4,1
ECSE404-201709,ECSE404,F2017,A,4.0,3,0
ECSE404-201809,ECSE404,F2018,A-,3.7,3,0
ECSE405-201901,ECSE405,W2019,A-,3.7,3,1
ECSE412-201809,ECSE412,F2018,B,3.0,3,0
ECSE414-201609,ECSE414,F2016,B+,3.3,3,1
ECSE414-201709,ECSE414,F2017,B+,3.3,3,1
ECSE415-201709,ECSE415,F2017,B,3.0,3,0
ECSE415-201809,ECSE415,F2018,B+,3.3,3,0
ECSE415-201909,ECSE415,F2019,B+,3.3,3,0
ECSE415-202009,ECSE415,F2020,A,4.0,3,0
ECSE415-202201,ECSE415,W2022,A-,3.7,3,0
ECSE415-202301,ECSE415,W2023,A-,3.7,3,0
ECSE415-202309,ECSE415,F2023,A,4.0,3,0
ECSE415-202401,ECSE415,W2024,A,4.0,3,0
ECSE416-202109,ECSE416,F2021,A-,3.7,4,1
ECSE416-202309,ECSE416,F2023,A-,3.7,4,1
ECSE420-201509,ECSE420,F2015,A-,3.7,3,0
ECSE420-201709,ECSE420,F2017,A,4.0,3,0
ECSE420-201809,ECSE420,F2018,A,4.0,3,0
ECSE420-201909,ECSE420,F2019,A,4.0,3,0
ECSE420-202009,ECSE420,F2020,A-,3.7,3,0
ECSE420-202101,ECSE420,W2021,A,4.0,3,0
ECSE420-202109,ECSE420,F2021,A,4.0,3,0
ECSE420-202201,ECSE420,W2022,A,4.0,3,0
ECSE420-202209,ECSE420,F2022,A-,3.7,3,0
ECSE420-202301,ECSE420,W2023,A,4.0,3,0
ECSE420-202309,ECSE420,F2023,A,4.0,3,0
ECSE420-202401,ECSE420,W2024,A,4.0,3,0
ECSE421-201701,ECSE421,W2017,B+,3.3,3,1
ECSE421-201801,ECSE421,W2018,B,3.0,3,1
ECSE421-201901,ECSE421,W2019,A-,3.7,3,1
ECSE421-202401,ECSE421,W2024,B-,2.7,3,1
ECSE424-202009,ECSE424,F2020,B+,3.3,3,0
ECSE424-202109,ECSE424,F2021,A,4.0,3,0
ECSE425-201801,ECSE425,W2018,B-,2.7,3,1
ECSE425-201901,ECSE425,W2019,B,3.0,3,1
ECSE425-202101,ECSE425,W2021,A-,3.7,3,1
ECSE425-202201,ECSE425,W2022,B,3.0,3,1
ECSE425-202301,ECSE425,W2023,B-,2.7,3,1
ECSE425-202401,ECSE425,W2024,B,3.0,3,1
ECSE426-201709,ECSE426,F2017,A-,3.7,3,0
ECSE427-201601,ECSE427,W2016,B,3.0,3,1
ECSE427-201701,ECSE427,W2017,B+,3.3,3,1
ECSE427-201709,ECSE427,F2017,B,3.0,3,1
ECSE427-201801,ECSE427,W2018,B,3.0,3,1
ECSE427-201809,ECSE427,F2018,B+,3.3,3,1
ECSE427-201901,ECSE427,W2019,B,3.0,3,1
ECSE427-201909,ECSE427,F2019,B,3.0,3,1
ECSE427-202009,ECSE427,F2020,A-,3.7,3,1
ECSE427-202101,ECSE427,W2021,A-,3.7,3,1
ECSE427-202109,ECSE427,F2021,B,3.0,3,1
ECSE427-202201,ECSE427,W2022,B+,3.3,3,1
ECSE427-202209,ECSE427,F2022,B-,2.7,3,1
ECSE427-202301,ECSE427,W2023,B+,3.3,3,1
ECSE427-202309,ECSE427,F2023,B,3.0,3,1
ECSE427-202401,ECSE427,W2024,A-,3.7,3,1
ECSE428-201601,ECSE428,W2016,A,4.0,3,0
ECSE428-201701,ECSE428,W2017,A-,3.7,3,0
ECSE428-201801,ECSE428,W2018,A,4.0,3,0
ECSE428-201901,ECSE428,W2019,A,4.0,3,0
ECSE428-202009,ECSE428,F2020,A,4.0,3,0
ECSE428-202101,ECSE428,W2021,A,4.0,3,0
